number,genus,metabolism,treatment,rep,run,seconds,O2_mM,HCO3_mM,CO2_mM,DIC_mM,CO2_12_mM,CO2_13_mM,salinity,temperature,pH,K1a,K2a,K1b,K2b,K1,K2,H,K1_HCO3,K2_HCO3
1,Hymenena,nonccm,High,1,Dark,220,11.01,324.67,17.90,342.57,17.42,0.48,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
2,Hymenena,nonccm,High,1,Dark,234,11.35,322.51,17.78,340.29,17.30,0.48,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
3,Hymenena,nonccm,High,1,Dark,248,10.95,323.57,17.84,341.41,17.34,0.50,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
4,Hymenena,nonccm,High,1,Dark,262,11.15,327.41,18.05,345.46,17.56,0.49,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
5,Hymenena,nonccm,High,1,Dark,275,11.42,329.81,18.03,347.84,17.55,0.48,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
6,Hymenena,nonccm,High,1,Dark,289,11.13,327.84,17.92,345.76,17.39,0.53,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
7,Hymenena,nonccm,High,1,Dark,302,11.00,329.38,18.01,347.39,17.50,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
8,Hymenena,nonccm,High,1,Dark,315,11.00,331.53,18.12,349.65,17.62,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
9,Hymenena,nonccm,High,1,Dark,328,10.59,330.09,18.05,348.14,17.53,0.52,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
10,Hymenena,nonccm,High,1,Dark,342,10.89,331.53,18.12,349.66,17.62,0.51,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
11,Hymenena,nonccm,High,1,Dark,355,10.85,334.47,18.29,352.75,17.76,0.53,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
12,Hymenena,nonccm,High,1,Dark,369,11.02,332.33,18.17,350.50,17.63,0.54,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
13,Hymenena,nonccm,High,1,Dark,382,10.97,334.38,18.28,352.66,17.79,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
14,Hymenena,nonccm,High,1,Dark,396,10.99,334.52,18.29,352.81,17.77,0.52,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
15,Hymenena,nonccm,High,1,Dark,410,10.89,333.53,18.23,351.77,17.74,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
16,Hymenena,nonccm,High,1,Dark,423,10.93,338.60,18.51,357.11,17.96,0.55,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
17,Hymenena,nonccm,High,1,Dark,437,10.77,337.49,18.45,355.94,17.92,0.53,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
18,Hymenena,nonccm,High,1,Dark,450,10.68,338.77,18.52,357.29,18.00,0.52,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
19,Hymenena,nonccm,High,1,Dark,464,10.06,332.77,18.19,350.96,17.69,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
20,Hymenena,nonccm,High,1,Dark,478,10.59,337.46,18.45,355.91,17.90,0.55,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
21,Hymenena,nonccm,High,1,Dark,492,10.48,337.16,18.43,355.59,17.91,0.52,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
22,Hymenena,nonccm,High,1,Dark,505,10.60,337.03,18.43,355.46,17.94,0.48,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
23,Hymenena,nonccm,High,1,Light,193,10.69,397.03,20.96,417.99,20.35,0.61,31,12,7.80,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.58E-08,1.97E-02,3.30E-02
24,Hymenena,nonccm,High,1,Light,207,10.90,396.29,20.92,417.21,20.33,0.59,31,12,7.80,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.58E-08,1.97E-02,3.30E-02
25,Hymenena,nonccm,High,1,Light,220,10.84,389.29,20.67,409.96,20.06,0.61,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
26,Hymenena,nonccm,High,1,Light,234,10.71,386.88,20.55,407.43,19.96,0.59,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
27,Hymenena,nonccm,High,1,Light,247,10.97,385.46,20.47,405.93,19.90,0.57,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
28,Hymenena,nonccm,High,1,Light,261,10.83,383.15,20.35,403.50,19.78,0.57,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
29,Hymenena,nonccm,High,1,Light,275,10.95,378.51,20.23,398.75,19.63,0.61,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
30,Hymenena,nonccm,High,1,Light,288,10.89,373.14,19.95,393.09,19.36,0.59,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
31,Hymenena,nonccm,High,1,Light,302,10.63,376.91,20.15,397.05,19.59,0.56,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
32,Hymenena,nonccm,High,1,Light,315,11.38,375.37,20.07,395.43,19.48,0.59,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
33,Hymenena,nonccm,High,1,Light,328,11.31,371.85,19.88,391.73,19.31,0.56,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
34,Hymenena,nonccm,High,1,Light,342,11.19,371.65,19.87,391.52,19.32,0.55,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
35,Hymenena,nonccm,High,1,Light,356,10.99,367.61,19.65,387.26,19.13,0.53,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
36,Hymenena,nonccm,High,1,Light,370,11.22,371.62,19.86,391.49,19.30,0.56,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
37,Hymenena,nonccm,High,1,Light,383,11.23,361.01,19.43,380.44,18.85,0.58,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
38,Hymenena,nonccm,High,1,Light,397,11.00,356.27,19.18,375.44,18.63,0.54,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
39,Hymenena,nonccm,High,1,Light,410,11.43,357.05,19.22,376.28,18.67,0.55,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
40,Hymenena,nonccm,High,1,Light,424,11.78,354.85,19.10,373.96,18.56,0.54,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
41,Hymenena,nonccm,High,1,Light,437,11.23,353.37,19.02,372.39,18.46,0.56,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
42,Hymenena,nonccm,High,1,Light,451,11.36,351.37,18.91,370.28,18.38,0.53,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
43,Hymenena,nonccm,High,1,Light,464,11.23,344.36,18.54,362.90,18.04,0.50,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
44,Hymenena,nonccm,High,1,Light,477,11.20,338.73,18.23,356.96,17.70,0.54,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
45,Hymenena,nonccm,High,1,Light,491,11.10,341.95,18.41,360.36,17.92,0.48,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
46,Hymenena,nonccm,High,1,Light,505,11.24,342.92,18.46,361.38,17.95,0.51,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
47,Hymenena,nonccm,High,1,Light,519,11.79,340.60,18.33,358.94,17.80,0.53,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
48,Hymenena,nonccm,High,1,Light,533,11.43,336.80,18.13,354.93,17.59,0.54,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
49,Hymenena,nonccm,High,1,Light,546,11.72,336.52,18.12,354.64,17.63,0.48,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
50,Hymenena,nonccm,High,1,Light,560,11.80,333.76,18.10,351.86,17.59,0.51,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02
51,Hymenena,nonccm,High,1,Light,573,11.80,330.48,17.92,348.40,17.41,0.51,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02
52,Hymenena,nonccm,High,1,Light,587,12.17,325.10,17.63,342.74,17.14,0.50,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02
53,Hymenena,nonccm,High,1,Light,600,11.15,321.61,17.44,339.05,16.97,0.48,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02
54,Hymenena,nonccm,High,1,Light,614,11.61,321.02,17.41,338.43,16.94,0.47,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02
55,Hymenena,nonccm,High,2,Dark,211,13.23,206.17,15.90,222.07,15.45,0.45,31,12,8.11,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.76E-09,9.67E-03,6.75E-02
56,Hymenena,nonccm,High,2,Dark,225,13.21,205.85,15.61,221.46,15.19,0.42,31,12,8.10,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.94E-09,9.90E-03,6.59E-02
57,Hymenena,nonccm,High,2,Dark,239,13.40,211.11,16.01,227.12,15.58,0.43,31,12,8.10,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.94E-09,9.90E-03,6.59E-02
58,Hymenena,nonccm,High,2,Dark,253,13.12,212.42,16.11,228.52,15.71,0.40,31,12,8.10,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.94E-09,9.90E-03,6.59E-02
59,Hymenena,nonccm,High,2,Dark,266,13.24,211.73,16.05,227.79,15.60,0.45,31,12,8.10,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.94E-09,9.90E-03,6.59E-02
60,Hymenena,nonccm,High,2,Dark,280,12.46,217.64,16.22,233.86,15.77,0.46,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
61,Hymenena,nonccm,High,2,Dark,294,12.69,216.22,16.12,232.34,15.70,0.42,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
62,Hymenena,nonccm,High,2,Dark,309,13.09,217.52,16.22,233.73,15.78,0.43,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
63,Hymenena,nonccm,High,2,Dark,322,12.94,219.40,16.36,235.76,15.91,0.45,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
64,Hymenena,nonccm,High,2,Dark,337,12.54,222.92,16.34,239.27,15.90,0.44,31,12,8.08,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.32E-09,1.04E-02,6.30E-02
65,Hymenena,nonccm,High,2,Dark,351,12.87,225.10,16.50,241.60,16.04,0.47,31,12,8.08,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.32E-09,1.04E-02,6.30E-02
66,Hymenena,nonccm,High,2,Dark,364,13.00,228.11,16.72,244.83,16.26,0.47,31,12,8.08,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.32E-09,1.04E-02,6.30E-02
67,Hymenena,nonccm,High,2,Dark,379,12.67,224.86,16.49,241.35,16.04,0.44,31,12,8.08,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.32E-09,1.04E-02,6.30E-02
68,Hymenena,nonccm,High,2,Dark,393,13.20,231.94,17.01,248.94,16.51,0.50,31,12,8.08,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.32E-09,1.04E-02,6.30E-02
69,Hymenena,nonccm,High,2,Dark,407,12.93,232.24,16.75,248.99,16.31,0.44,31,12,8.07,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.51E-09,1.06E-02,6.15E-02
70,Hymenena,nonccm,High,2,Dark,421,12.64,231.02,16.66,247.69,16.19,0.47,31,12,8.07,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.51E-09,1.06E-02,6.15E-02
71,Hymenena,nonccm,High,2,Dark,435,12.63,231.87,16.72,248.59,16.23,0.49,31,12,8.07,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.51E-09,1.06E-02,6.15E-02
72,Hymenena,nonccm,High,2,Dark,448,12.51,233.85,16.87,250.72,16.44,0.43,31,12,8.07,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.51E-09,1.06E-02,6.15E-02
73,Hymenena,nonccm,High,2,Light,211,11.13,340.01,22.04,362.05,21.43,0.61,31,12,8.00,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.00E-08,1.25E-02,5.24E-02
74,Hymenena,nonccm,High,2,Light,225,11.00,328.53,21.60,350.13,21.01,0.60,31,12,8.01,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,9.77E-09,1.22E-02,5.36E-02
75,Hymenena,nonccm,High,2,Light,238,11.37,323.36,21.26,344.63,20.73,0.54,31,12,8.01,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,9.77E-09,1.22E-02,5.36E-02
76,Hymenena,nonccm,High,2,Light,253,11.86,317.03,21.16,338.18,20.58,0.57,31,12,8.02,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,9.55E-09,1.19E-02,5.48E-02
77,Hymenena,nonccm,High,2,Light,267,11.08,314.04,20.96,334.99,20.36,0.60,31,12,8.02,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,9.55E-09,1.19E-02,5.48E-02
78,Hymenena,nonccm,High,2,Light,281,11.54,309.94,20.68,330.63,20.08,0.60,31,12,8.02,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,9.55E-09,1.19E-02,5.48E-02
79,Hymenena,nonccm,High,2,Light,295,12.02,302.21,20.47,322.69,19.88,0.59,31,12,8.03,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,9.33E-09,1.16E-02,5.61E-02
80,Hymenena,nonccm,High,2,Light,309,11.89,294.31,19.94,314.25,19.37,0.57,31,12,8.03,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,9.33E-09,1.16E-02,5.61E-02
81,Hymenena,nonccm,High,2,Light,323,11.26,288.20,19.52,307.72,19.01,0.51,31,12,8.03,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,9.33E-09,1.16E-02,5.61E-02
82,Hymenena,nonccm,High,2,Light,336,11.11,283.40,19.49,302.90,18.96,0.53,31,12,8.04,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,9.12E-09,1.14E-02,5.74E-02
83,Hymenena,nonccm,High,2,Light,350,11.93,285.15,19.61,304.77,19.11,0.51,31,12,8.04,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,9.12E-09,1.14E-02,5.74E-02
84,Hymenena,nonccm,High,2,Light,364,11.61,272.93,19.07,291.99,18.56,0.51,31,12,8.05,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.91E-09,1.11E-02,5.88E-02
85,Hymenena,nonccm,High,2,Light,378,11.90,270.85,18.92,289.77,18.39,0.53,31,12,8.05,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.91E-09,1.11E-02,5.88E-02
86,Hymenena,nonccm,High,2,Light,392,12.35,263.08,18.67,281.76,18.17,0.50,31,12,8.06,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.71E-09,1.09E-02,6.01E-02
87,Hymenena,nonccm,High,2,Light,405,12.65,263.56,18.71,282.26,18.20,0.50,31,12,8.06,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.71E-09,1.09E-02,6.01E-02
88,Hymenena,nonccm,High,2,Light,420,12.64,256.86,18.23,275.10,17.71,0.52,31,12,8.06,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.71E-09,1.09E-02,6.01E-02
89,Hymenena,nonccm,High,2,Light,434,13.16,256.44,18.50,274.94,17.98,0.52,31,12,8.07,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.51E-09,1.06E-02,6.15E-02
90,Hymenena,nonccm,High,2,Light,448,12.83,250.91,18.10,269.00,17.57,0.52,31,12,8.07,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.51E-09,1.06E-02,6.15E-02
91,Hymenena,nonccm,High,2,Light,463,12.72,244.55,17.93,262.48,17.41,0.52,31,12,8.08,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.32E-09,1.04E-02,6.30E-02
92,Hymenena,nonccm,High,2,Light,477,13.42,244.07,17.89,261.96,17.39,0.50,31,12,8.08,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.32E-09,1.04E-02,6.30E-02
93,Hymenena,nonccm,High,2,Light,491,12.88,234.05,17.45,251.50,16.96,0.49,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
94,Hymenena,nonccm,High,2,Light,505,13.33,229.45,17.11,246.55,16.64,0.47,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
95,Hymenena,nonccm,High,2,Light,519,13.41,229.55,17.11,246.66,16.63,0.48,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
96,Hymenena,nonccm,High,2,Light,533,13.17,225.57,17.10,242.67,16.64,0.46,31,12,8.10,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.94E-09,9.90E-03,6.59E-02
97,Hymenena,nonccm,High,2,Light,547,13.44,221.42,16.79,238.21,16.33,0.46,31,12,8.10,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.94E-09,9.90E-03,6.59E-02
98,Hymenena,nonccm,High,2,Light,560,13.39,216.99,16.45,233.44,16.03,0.42,31,12,8.10,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.94E-09,9.90E-03,6.59E-02
99,Hymenena,nonccm,High,2,Light,574,13.51,213.65,16.48,230.13,15.99,0.49,31,12,8.11,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.76E-09,9.67E-03,6.75E-02
100,Hymenena,nonccm,High,2,Light,588,13.48,208.53,16.08,224.62,15.62,0.46,31,12,8.11,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.76E-09,9.67E-03,6.75E-02
101,Hymenena,nonccm,High,2,Light,602,13.37,207.21,15.98,223.20,15.51,0.48,31,12,8.11,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.76E-09,9.67E-03,6.75E-02
102,Hymenena,nonccm,High,2,Light,616,14.05,204.54,16.05,220.59,15.59,0.46,31,12,8.12,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,7.59E-09,9.45E-03,6.90E-02
103,Hymenena,nonccm,High,3,Dark,330,12.59,231.01,17.22,248.23,16.63,0.59,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
104,Hymenena,nonccm,High,3,Dark,340,12.32,229.99,17.15,247.13,16.56,0.59,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
105,Hymenena,nonccm,High,3,Dark,350,12.41,230.71,17.20,247.91,16.61,0.59,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
106,Hymenena,nonccm,High,3,Dark,360,12.07,234.63,17.49,252.12,16.90,0.59,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
107,Hymenena,nonccm,High,3,Dark,370,12.41,230.88,17.21,248.09,16.62,0.59,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
108,Hymenena,nonccm,High,3,Dark,381,12.13,233.71,17.42,251.13,16.84,0.58,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
109,Hymenena,nonccm,High,3,Dark,391,12.01,231.70,17.27,248.98,16.69,0.58,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
110,Hymenena,nonccm,High,3,Dark,401,12.10,233.43,17.40,250.83,16.82,0.59,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
111,Hymenena,nonccm,High,3,Dark,411,12.42,235.33,17.54,252.87,16.95,0.59,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
112,Hymenena,nonccm,High,3,Dark,421,12.03,235.36,17.55,252.91,16.96,0.59,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
113,Hymenena,nonccm,High,3,Dark,431,12.27,234.51,17.48,251.99,16.89,0.59,31,12,8.09,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,8.13E-09,1.01E-02,6.44E-02
