number,genus,metabolism,treatment,rep,run1,run2,seconds,O2_mM,HCO3,HCO3_mM,CO2_mM,DIC_mM,CO2_12_mM,CO2_13_mM,salinity,temperature,pH,K1a,K2a,K1b,K2b,K1,K2,H,K1_HCO3,K2_HCO3
1,Hymenena,nonccm,High,1,Dark1,Dark,165,10.23,21.06,418.2,22.21,440.41,21.58,0.63,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
2,Hymenena,nonccm,High,1,Dark1,Dark,179,10,21.02,417.36,22.16,439.52,21.56,0.61,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
3,Hymenena,nonccm,High,1,Dark1,Dark,192,10.03,21,416.94,22.14,439.08,21.53,0.61,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
4,Hymenena,nonccm,High,1,Dark1,Dark,206,9.75,20.56,408.25,21.68,429.93,21.05,0.63,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
5,Hymenena,nonccm,High,1,Dark1,Dark,219,9.83,21,417.06,22.15,439.21,21.47,0.68,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
6,Hymenena,nonccm,High,1,Dark1,Dark,233,9.84,20.69,410.82,21.82,432.63,21.2,0.62,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
7,Hymenena,nonccm,High,1,Dark1,Dark,247,9.51,20.83,413.68,21.97,435.65,21.36,0.61,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
8,Hymenena,nonccm,High,1,Dark1,Dark,261,9.9,21.35,424,22.52,446.52,21.89,0.62,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
9,Hymenena,nonccm,High,1,Dark1,Dark,275,10.18,21.11,419.11,22.26,441.37,21.62,0.64,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
10,Hymenena,nonccm,High,1,Dark1,Dark,289,9.74,21.07,418.26,22.21,440.47,21.57,0.64,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
11,Hymenena,nonccm,High,1,Dark1,Dark,303,9.76,21.1,418.9,22.25,441.14,21.61,0.64,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
12,Hymenena,nonccm,High,1,Dark1,Dark,316,9.87,20.96,416.1,22.1,438.19,21.51,0.58,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
13,Hymenena,nonccm,High,1,Dark1,Dark,330,10.01,20.91,415.1,22.04,437.15,21.45,0.59,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
14,Hymenena,nonccm,High,1,Dark1,Dark,343,9.95,21.13,419.61,22.28,441.89,21.66,0.62,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
15,Hymenena,nonccm,High,1,Dark1,Dark,357,9.63,20.87,414.48,22.01,436.5,21.41,0.6,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
16,Hymenena,nonccm,High,1,Dark1,Dark,371,9.55,20.98,416.59,22.12,438.72,21.49,0.63,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
17,Hymenena,nonccm,High,1,Dark1,Dark,385,9.65,21.04,417.77,22.19,439.96,21.59,0.6,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
18,Hymenena,nonccm,High,1,Dark2,Dark,220,11.01,16.92,324.67,17.9,342.57,17.42,0.48,31,12,7.86,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.38E-08,1.72E-02,3.79E-02
19,Hymenena,nonccm,High,1,Dark2,Dark,234,11.35,16.81,322.51,17.78,340.29,17.3,0.48,31,12,7.86,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.38E-08,1.72E-02,3.79E-02
20,Hymenena,nonccm,High,1,Dark2,Dark,248,10.95,16.87,323.57,17.84,341.41,17.34,0.5,31,12,7.86,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.38E-08,1.72E-02,3.79E-02
21,Hymenena,nonccm,High,1,Dark2,Dark,262,11.15,17.07,327.41,18.05,345.46,17.56,0.49,31,12,7.86,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.38E-08,1.72E-02,3.79E-02
22,Hymenena,nonccm,High,1,Dark2,Dark,275,11.42,17.06,329.81,18.03,347.84,17.55,0.48,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
23,Hymenena,nonccm,High,1,Dark2,Dark,289,11.13,16.96,327.84,17.92,345.76,17.39,0.53,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
24,Hymenena,nonccm,High,1,Dark2,Dark,302,11,17.04,329.38,18.01,347.39,17.5,0.5,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
25,Hymenena,nonccm,High,1,Dark2,Dark,315,11,17.15,331.53,18.12,349.65,17.62,0.5,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
26,Hymenena,nonccm,High,1,Dark2,Dark,328,10.59,17.07,330.09,18.05,348.14,17.53,0.52,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
27,Hymenena,nonccm,High,1,Dark2,Dark,342,10.89,17.15,331.53,18.12,349.66,17.62,0.51,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
28,Hymenena,nonccm,High,1,Dark2,Dark,355,10.85,17.3,334.47,18.29,352.75,17.76,0.53,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
29,Hymenena,nonccm,High,1,Dark2,Dark,369,11.02,17.19,332.33,18.17,350.5,17.63,0.54,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
30,Hymenena,nonccm,High,1,Dark2,Dark,382,10.97,17.3,334.38,18.28,352.66,17.79,0.5,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
31,Hymenena,nonccm,High,1,Dark2,Dark,396,10.99,17.3,334.52,18.29,352.81,17.77,0.52,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
32,Hymenena,nonccm,High,1,Dark2,Dark,410,10.89,17.25,333.53,18.23,351.77,17.74,0.5,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
33,Hymenena,nonccm,High,1,Dark2,Dark,423,10.93,17.51,338.6,18.51,357.11,17.96,0.55,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
34,Hymenena,nonccm,High,1,Dark2,Dark,437,10.77,17.46,337.49,18.45,355.94,17.92,0.53,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
35,Hymenena,nonccm,High,1,Dark2,Dark,450,10.68,17.52,338.77,18.52,357.29,18,0.52,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
36,Hymenena,nonccm,High,1,Dark2,Dark,464,10.06,17.21,332.77,18.19,350.96,17.69,0.5,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
37,Hymenena,nonccm,High,1,Dark2,Dark,478,10.59,17.45,337.46,18.45,355.91,17.9,0.55,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
38,Hymenena,nonccm,High,1,Dark2,Dark,492,10.48,17.44,337.16,18.43,355.59,17.91,0.52,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
39,Hymenena,nonccm,High,1,Dark2,Dark,505,10.6,17.43,337.03,18.43,355.46,17.94,0.48,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
40,Hymenena,nonccm,High,1,Light1,Light,193,10.69,19.89,397.03,20.96,417.99,20.35,0.61,31,12,7.8,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.58E-08,1.97E-02,3.30E-02
41,Hymenena,nonccm,High,1,Light1,Light,207,10.9,19.85,396.29,20.92,417.21,20.33,0.59,31,12,7.8,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.58E-08,1.97E-02,3.30E-02
42,Hymenena,nonccm,High,1,Light1,Light,220,10.84,19.61,389.29,20.67,409.96,20.06,0.61,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
43,Hymenena,nonccm,High,1,Light1,Light,234,10.71,19.48,386.88,20.55,407.43,19.96,0.59,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
44,Hymenena,nonccm,High,1,Light1,Light,247,10.97,19.41,385.46,20.47,405.93,19.9,0.57,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
45,Hymenena,nonccm,High,1,Light1,Light,261,10.83,19.3,383.15,20.35,403.5,19.78,0.57,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
46,Hymenena,nonccm,High,1,Light1,Light,275,10.95,19.18,378.51,20.23,398.75,19.63,0.61,31,12,7.82,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.51E-08,1.89E-02,3.46E-02
47,Hymenena,nonccm,High,1,Light1,Light,288,10.89,18.91,373.14,19.95,393.09,19.36,0.59,31,12,7.82,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.51E-08,1.89E-02,3.46E-02
48,Hymenena,nonccm,High,1,Light1,Light,302,10.63,19.1,376.91,20.15,397.05,19.59,0.56,31,12,7.82,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.51E-08,1.89E-02,3.46E-02
49,Hymenena,nonccm,High,1,Light1,Light,315,11.38,19.02,375.37,20.07,395.43,19.48,0.59,31,12,7.82,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.51E-08,1.89E-02,3.46E-02
50,Hymenena,nonccm,High,1,Light1,Light,328,11.31,18.84,371.85,19.88,391.73,19.31,0.56,31,12,7.82,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.51E-08,1.89E-02,3.46E-02
51,Hymenena,nonccm,High,1,Light1,Light,342,11.19,18.83,371.65,19.87,391.52,19.32,0.55,31,12,7.82,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.51E-08,1.89E-02,3.46E-02
52,Hymenena,nonccm,High,1,Light1,Light,356,10.99,18.63,367.61,19.65,387.26,19.13,0.53,31,12,7.82,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.51E-08,1.89E-02,3.46E-02
53,Hymenena,nonccm,High,1,Light1,Light,370,11.22,18.83,371.62,19.86,391.49,19.3,0.56,31,12,7.82,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.51E-08,1.89E-02,3.46E-02
54,Hymenena,nonccm,High,1,Light1,Light,383,11.23,18.41,361.01,19.43,380.44,18.85,0.58,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
55,Hymenena,nonccm,High,1,Light1,Light,397,11,18.17,356.27,19.18,375.44,18.63,0.54,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
56,Hymenena,nonccm,High,1,Light1,Light,410,11.43,18.21,357.05,19.22,376.28,18.67,0.55,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
57,Hymenena,nonccm,High,1,Light1,Light,424,11.78,18.09,354.85,19.1,373.96,18.56,0.54,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
58,Hymenena,nonccm,High,1,Light1,Light,437,11.23,18.02,353.37,19.02,372.39,18.46,0.56,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
59,Hymenena,nonccm,High,1,Light1,Light,451,11.36,17.92,351.37,18.91,370.28,18.38,0.53,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
60,Hymenena,nonccm,High,1,Light1,Light,464,11.23,17.56,344.36,18.54,362.9,18.04,0.5,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
61,Hymenena,nonccm,High,1,Light1,Light,477,11.2,17.27,338.73,18.23,356.96,17.7,0.54,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
62,Hymenena,nonccm,High,1,Light1,Light,491,11.1,17.44,341.95,18.41,360.36,17.92,0.48,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
63,Hymenena,nonccm,High,1,Light1,Light,505,11.24,17.49,342.92,18.46,361.38,17.95,0.51,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
64,Hymenena,nonccm,High,1,Light1,Light,519,11.79,17.37,340.6,18.33,358.94,17.8,0.53,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
65,Hymenena,nonccm,High,1,Light1,Light,533,11.43,17.17,336.8,18.13,354.93,17.59,0.54,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
66,Hymenena,nonccm,High,1,Light1,Light,546,11.72,17.16,336.52,18.12,354.64,17.63,0.48,31,12,7.83,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.48E-08,1.84E-02,3.54E-02
67,Hymenena,nonccm,High,1,Light1,Light,560,11.8,17.14,333.76,18.1,351.86,17.59,0.51,31,12,7.84,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.45E-08,1.80E-02,3.62E-02
68,Hymenena,nonccm,High,1,Light1,Light,573,11.8,16.97,330.48,17.92,348.4,17.41,0.51,31,12,7.84,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.45E-08,1.80E-02,3.62E-02
69,Hymenena,nonccm,High,1,Light1,Light,587,12.17,16.69,325.1,17.63,342.74,17.14,0.5,31,12,7.84,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.45E-08,1.80E-02,3.62E-02
70,Hymenena,nonccm,High,1,Light1,Light,600,11.15,16.51,321.61,17.44,339.05,16.97,0.48,31,12,7.84,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.45E-08,1.80E-02,3.62E-02
71,Hymenena,nonccm,High,1,Light1,Light,614,11.61,16.48,321.02,17.41,338.43,16.94,0.47,31,12,7.84,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.45E-08,1.80E-02,3.62E-02
72,Hymenena,nonccm,High,2,Dark1,Dark,282,11.05,22.97,408.17,24.45,432.62,23.75,0.71,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
73,Hymenena,nonccm,High,2,Dark1,Dark,296,10.8,22.68,402.88,24.14,427.02,23.45,0.69,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
74,Hymenena,nonccm,High,2,Dark1,Dark,310,11.12,23.04,409.28,24.52,433.8,23.86,0.67,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
75,Hymenena,nonccm,High,2,Dark1,Dark,324,10.76,23.06,409.72,24.55,434.26,23.82,0.72,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
76,Hymenena,nonccm,High,2,Dark1,Dark,338,11.19,22.88,406.49,24.35,430.85,23.65,0.7,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
77,Hymenena,nonccm,High,2,Dark1,Dark,352,10.43,22.9,406.83,24.37,431.21,23.7,0.68,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
78,Hymenena,nonccm,High,2,Dark1,Dark,366,10.52,22.62,401.91,24.08,425.99,23.37,0.71,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
79,Hymenena,nonccm,High,2,Dark1,Dark,380,10.5,23.16,411.47,24.65,436.12,23.96,0.69,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
80,Hymenena,nonccm,High,2,Dark1,Dark,394,10.65,23.19,412.11,24.69,436.8,23.99,0.7,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
81,Hymenena,nonccm,High,2,Dark1,Dark,408,10.69,23.17,411.71,24.67,436.37,23.97,0.69,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
82,Hymenena,nonccm,High,2,Dark1,Dark,422,9.89,22.79,404.85,24.26,429.11,23.61,0.64,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
83,Hymenena,nonccm,High,2,Dark1,Dark,436,9.96,23.04,409.33,24.52,433.85,23.86,0.66,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
84,Hymenena,nonccm,High,2,Dark1,Dark,450,9.78,22.97,408.05,24.45,432.5,23.75,0.7,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
85,Hymenena,nonccm,High,2,Dark1,Dark,465,10.42,23.17,411.75,24.67,436.42,24,0.67,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
86,Hymenena,nonccm,High,2,Dark1,Dark,479,10.11,23.09,410.22,24.58,434.79,23.9,0.68,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
87,Hymenena,nonccm,High,2,Dark1,Dark,493,9.86,22.96,408,24.44,432.44,23.76,0.68,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
88,Hymenena,nonccm,High,2,Dark1,Dark,507,9.91,23.18,411.93,24.68,436.6,23.98,0.7,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
89,Hymenena,nonccm,High,2,Dark1,Dark,521,10.02,23.12,410.76,24.61,435.37,23.9,0.71,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
90,Hymenena,nonccm,High,2,Dark1,Dark,535,9.79,23.48,417.25,25,442.25,24.31,0.69,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
91,Hymenena,nonccm,High,2,Dark1,Dark,549,10.2,23.26,413.21,24.76,437.97,24.04,0.72,31,12,7.94,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.15E-08,1.43E-02,4.56E-02
92,Hymenena,nonccm,High,2,Dark1,Dark,563,9.58,23.29,418.28,24.77,443.05,24.1,0.67,31,12,7.93,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.17E-08,1.46E-02,4.46E-02
93,Hymenena,nonccm,High,2,Dark1,Dark,577,9.86,23.44,421.08,24.93,446.01,24.26,0.67,31,12,7.93,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.17E-08,1.46E-02,4.46E-02
94,Hymenena,nonccm,High,2,Dark1,Dark,591,9.9,23.86,428.58,25.37,453.95,24.69,0.68,31,12,7.93,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.17E-08,1.46E-02,4.46E-02
95,Hymenena,nonccm,High,2,Dark1,Dark,605,9.52,23.6,423.99,25.1,449.1,24.43,0.67,31,12,7.93,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.17E-08,1.46E-02,4.46E-02
96,Hymenena,nonccm,High,2,Dark2,Dark,211,13.23,14.63,206.17,15.9,222.07,15.45,0.45,31,12,8.11,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,7.76E-09,9.67E-03,6.75E-02
97,Hymenena,nonccm,High,2,Dark2,Dark,225,13.21,14.39,205.85,15.61,221.46,15.19,0.42,31,12,8.1,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,7.94E-09,9.90E-03,6.59E-02
98,Hymenena,nonccm,High,2,Dark2,Dark,239,13.4,14.75,211.11,16.01,227.12,15.58,0.43,31,12,8.1,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,7.94E-09,9.90E-03,6.59E-02
99,Hymenena,nonccm,High,2,Dark2,Dark,253,13.12,14.84,212.42,16.11,228.52,15.71,0.4,31,12,8.1,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,7.94E-09,9.90E-03,6.59E-02
100,Hymenena,nonccm,High,2,Dark2,Dark,266,13.24,14.8,211.73,16.05,227.79,15.6,0.45,31,12,8.1,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,7.94E-09,9.90E-03,6.59E-02
101,Hymenena,nonccm,High,2,Dark2,Dark,280,12.46,14.98,217.64,16.22,233.86,15.77,0.46,31,12,8.09,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,8.13E-09,1.01E-02,6.44E-02
102,Hymenena,nonccm,High,2,Dark2,Dark,294,12.69,14.88,216.22,16.12,232.34,15.7,0.42,31,12,8.09,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,8.13E-09,1.01E-02,6.44E-02
103,Hymenena,nonccm,High,2,Dark2,Dark,309,13.09,14.97,217.52,16.22,233.73,15.78,0.43,31,12,8.09,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,8.13E-09,1.01E-02,6.44E-02
104,Hymenena,nonccm,High,2,Dark2,Dark,322,12.94,15.1,219.4,16.36,235.76,15.91,0.45,31,12,8.09,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,8.13E-09,1.01E-02,6.44E-02
105,Hymenena,nonccm,High,2,Dark2,Dark,337,12.54,15.11,222.92,16.34,239.27,15.9,0.44,31,12,8.08,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,8.32E-09,1.04E-02,6.30E-02
106,Hymenena,nonccm,High,2,Dark2,Dark,351,12.87,15.26,225.1,16.5,241.6,16.04,0.47,31,12,8.08,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,8.32E-09,1.04E-02,6.30E-02
107,Hymenena,nonccm,High,2,Dark2,Dark,364,13,15.46,228.11,16.72,244.83,16.26,0.47,31,12,8.08,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,8.32E-09,1.04E-02,6.30E-02
108,Hymenena,nonccm,High,2,Dark2,Dark,379,12.67,15.24,224.86,16.49,241.35,16.04,0.44,31,12,8.08,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,8.32E-09,1.04E-02,6.30E-02
109,Hymenena,nonccm,High,2,Dark2,Dark,393,13.2,15.72,231.94,17.01,248.94,16.51,0.5,31,12,8.08,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,8.32E-09,1.04E-02,6.30E-02
