number,genus,metabolism,treatment,rep,run1,run2,seconds,O2_mM,HCO3,HCO3_mM,CO2_mM,DIC_mM,CO2_12_mM,CO2_13_mM,salinity,temperature,pH,K1a,K2a,K1b,K2b,K1,K2,H,K1_HCO3,K2_HCO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hymenena,nonccm,High,1,Dark1,Dark,165,10.23,21.06,418.20,22.21,440.41,21.58,0.63,31,12,7.81,8.18E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Hymenena,nonccm,High,1,Dark1,Dark,179,10.00,21.02,417.36,22.16,439.52,21.56,0.61,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Hymenena,nonccm,High,1,Dark1,Dark,192,10.03,21.00,416.94,22.14,439.08,21.53,0.61,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Hymenena,nonccm,High,1,Dark1,Dark,206,9.75,20.56,408.25,21.68,429.93,21.05,0.63,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Hymenena,nonccm,High,1,Dark1,Dark,219,9.83,21.00,417.06,22.15,439.21,21.47,0.68,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Hymenena,nonccm,High,1,Dark1,Dark,233,9.84,20.69,410.82,21.82,432.63,21.20,0.62,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hymenena,nonccm,High,1,Dark1,Dark,247,9.51,20.83,413.68,21.97,435.65,21.36,0.61,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Hymenena,nonccm,High,1,Dark1,Dark,261,9.90,21.35,424.00,22.52,446.52,21.89,0.62,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Hymenena,nonccm,High,1,Dark1,Dark,275,10.18,21.11,419.11,22.26,441.37,21.62,0.64,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Hymenena,nonccm,High,1,Dark1,Dark,289,9.74,21.07,418.26,22.21,440.47,21.57,0.64,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Hymenena,nonccm,High,1,Dark1,Dark,303,9.76,21.10,418.90,22.25,441.14,21.61,0.64,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Hymenena,nonccm,High,1,Dark1,Dark,316,9.87,20.96,416.10,22.10,438.19,21.51,0.58,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Hymenena,nonccm,High,1,Dark1,Dark,330,10.01,20.91,415.10,22.04,437.15,21.45,0.59,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Hymenena,nonccm,High,1,Dark1,Dark,343,9.95,21.13,419.61,22.28,441.89,21.66,0.62,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Hymenena,nonccm,High,1,Dark1,Dark,357,9.63,20.87,414.48,22.01,436.50,21.41,0.60,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Hymenena,nonccm,High,1,Dark1,Dark,371,9.55,20.98,416.59,22.12,438.72,21.49,0.63,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Hymenena,nonccm,High,1,Dark1,Dark,385,9.65,21.04,417.77,22.19,439.96,21.59,0.60,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Hymenena,nonccm,High,1,Dark2,Dark,220,11.01,16.92,324.67,17.90,342.57,17.42,0.48,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Hymenena,nonccm,High,1,Dark2,Dark,234,11.35,16.81,322.51,17.78,340.29,17.30,0.48,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Hymenena,nonccm,High,1,Dark2,Dark,248,10.95,16.87,323.57,17.84,341.41,17.34,0.50,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Hymenena,nonccm,High,1,Dark2,Dark,262,11.15,17.07,327.41,18.05,345.46,17.56,0.49,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Hymenena,nonccm,High,1,Dark2,Dark,275,11.42,17.06,329.81,18.03,347.84,17.55,0.48,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Hymenena,nonccm,High,1,Dark2,Dark,289,11.13,16.96,327.84,17.92,345.76,17.39,0.53,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Hymenena,nonccm,High,1,Dark2,Dark,302,11.00,17.04,329.38,18.01,347.39,17.50,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Hymenena,nonccm,High,1,Dark2,Dark,315,11.00,17.15,331.53,18.12,349.65,17.62,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Hymenena,nonccm,High,1,Dark2,Dark,328,10.59,17.07,330.09,18.05,348.14,17.53,0.52,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Hymenena,nonccm,High,1,Dark2,Dark,342,10.89,17.15,331.53,18.12,349.66,17.62,0.51,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Hymenena,nonccm,High,1,Dark2,Dark,355,10.85,17.30,334.47,18.29,352.75,17.76,0.53,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Hymenena,nonccm,High,1,Dark2,Dark,369,11.02,17.19,332.33,18.17,350.50,17.63,0.54,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Hymenena,nonccm,High,1,Dark2,Dark,382,10.97,17.30,334.38,18.28,352.66,17.79,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Hymenena,nonccm,High,1,Dark2,Dark,396,10.99,17.30,334.52,18.29,352.81,17.77,0.52,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Hymenena,nonccm,High,1,Dark2,Dark,410,10.89,17.25,333.53,18.23,351.77,17.74,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Hymenena,nonccm,High,1,Dark2,Dark,423,10.93,17.51,338.60,18.51,357.11,17.96,0.55,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Hymenena,nonccm,High,1,Dark2,Dark,437,10.77,17.46,337.49,18.45,355.94,17.92,0.53,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Hymenena,nonccm,High,1,Dark2,Dark,450,10.68,17.52,338.77,18.52,357.29,18.00,0.52,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Hymenena,nonccm,High,1,Dark2,Dark,464,10.06,17.21,332.77,18.19,350.96,17.69,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Hymenena,nonccm,High,1,Dark2,Dark,478,10.59,17.45,337.46,18.45,355.91,17.90,0.55,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Hymenena,nonccm,High,1,Dark2,Dark,492,10.48,17.44,337.16,18.43,355.59,17.91,0.52,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Hymenena,nonccm,High,1,Dark2,Dark,505,10.60,17.43,337.03,18.43,355.46,17.94,0.48,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Hymenena,nonccm,High,1,Light1,Light,193,10.69,19.89,397.03,20.96,417.99,20.35,0.61,31,12,7.80,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.58E-08,1.97E-02,3.30E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Hymenena,nonccm,High,1,Light1,Light,207,10.90,19.85,396.29,20.92,417.21,20.33,0.59,31,12,7.80,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.58E-08,1.97E-02,3.30E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Hymenena,nonccm,High,1,Light1,Light,220,10.84,19.61,389.29,20.67,409.96,20.06,0.61,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Hymenena,nonccm,High,1,Light1,Light,234,10.71,19.48,386.88,20.55,407.43,19.96,0.59,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Hymenena,nonccm,High,1,Light1,Light,247,10.97,19.41,385.46,20.47,405.93,19.90,0.57,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Hymenena,nonccm,High,1,Light1,Light,261,10.83,19.30,383.15,20.35,403.50,19.78,0.57,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Hymenena,nonccm,High,1,Light1,Light,275,10.95,19.18,378.51,20.23,398.75,19.63,0.61,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hymenena,nonccm,High,1,Light1,Light,288,10.89,18.91,373.14,19.95,393.09,19.36,0.59,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Hymenena,nonccm,High,1,Light1,Light,302,10.63,19.10,376.91,20.15,397.05,19.59,0.56,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Hymenena,nonccm,High,1,Light1,Light,315,11.38,19.02,375.37,20.07,395.43,19.48,0.59,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Hymenena,nonccm,High,1,Light1,Light,328,11.31,18.84,371.85,19.88,391.73,19.31,0.56,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Hymenena,nonccm,High,1,Light1,Light,342,11.19,18.83,371.65,19.87,391.52,19.32,0.55,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Hymenena,nonccm,High,1,Light1,Light,356,10.99,18.63,367.61,19.65,387.26,19.13,0.53,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Hymenena,nonccm,High,1,Light1,Light,370,11.22,18.83,371.62,19.86,391.49,19.30,0.56,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Hymenena,nonccm,High,1,Light1,Light,383,11.23,18.41,361.01,19.43,380.44,18.85,0.58,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Hymenena,nonccm,High,1,Light1,Light,397,11.00,18.17,356.27,19.18,375.44,18.63,0.54,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Hymenena,nonccm,High,1,Light1,Light,410,11.43,18.21,357.05,19.22,376.28,18.67,0.55,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Hymenena,nonccm,High,1,Light1,Light,424,11.78,18.09,354.85,19.10,373.96,18.56,0.54,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Hymenena,nonccm,High,1,Light1,Light,437,11.23,18.02,353.37,19.02,372.39,18.46,0.56,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Hymenena,nonccm,High,1,Light1,Light,451,11.36,17.92,351.37,18.91,370.28,18.38,0.53,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Hymenena,nonccm,High,1,Light1,Light,464,11.23,17.56,344.36,18.54,362.90,18.04,0.50,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Hymenena,nonccm,High,1,Light1,Light,477,11.20,17.27,338.73,18.23,356.96,17.70,0.54,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Hymenena,nonccm,High,1,Light1,Light,491,11.10,17.44,341.95,18.41,360.36,17.92,0.48,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Hymenena,nonccm,High,1,Light1,Light,505,11.24,17.49,342.92,18.46,361.38,17.95,0.51,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Hymenena,nonccm,High,1,Light1,Light,519,11.79,17.37,340.60,18.33,358.94,17.80,0.53,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Hymenena,nonccm,High,1,Light1,Light,533,11.43,17.17,336.80,18.13,354.93,17.59,0.54,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Hymenena,nonccm,High,1,Light1,Light,546,11.72,17.16,336.52,18.12,354.64,17.63,0.48,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Hymenena,nonccm,High,1,Light1,Light,560,11.80,17.14,333.76,18.10,351.86,17.59,0.51,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Hymenena,nonccm,High,1,Light1,Light,573,11.80,16.97,330.48,17.92,348.40,17.41,0.51,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Hymenena,nonccm,High,1,Light1,Light,587,12.17,16.69,325.10,17.63,342.74,17.14,0.50,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Hymenena,nonccm,High,1,Light1,Light,600,11.15,16.51,321.61,17.44,339.05,16.97,0.48,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Hymenena,nonccm,High,1,Light1,Light,614,11.61,16.48,321.02,17.41,338.43,16.94,0.47,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Hymenena,nonccm,High,2,Dark1,Dark,282,11.05,22.97,408.17,24.45,432.62,23.75,0.71,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Hymenena,nonccm,High,2,Dark1,Dark,296,10.80,22.68,402.88,24.14,427.02,23.45,0.69,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Hymenena,nonccm,High,2,Dark1,Dark,310,11.12,23.04,409.28,24.52,433.80,23.86,0.67,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Hymenena,nonccm,High,2,Dark1,Dark,324,10.76,23.06,409.72,24.55,434.26,23.82,0.72,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Hymenena,nonccm,High,2,Dark1,Dark,338,11.19,22.88,406.49,24.35,430.85,23.65,0.70,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Hymenena,nonccm,High,2,Dark1,Dark,352,10.43,22.90,406.83,24.37,431.21,23.70,0.68,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Hymenena,nonccm,High,2,Dark1,Dark,366,10.52,22.62,401.91,24.08,425.99,23.37,0.71,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Hymenena,nonccm,High,2,Dark1,Dark,380,10.50,23.16,411.47,24.65,436.12,23.96,0.69,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Hymenena,nonccm,High,2,Dark1,Dark,394,10.65,23.19,412.11,24.69,436.80,23.99,0.70,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Hymenena,nonccm,High,2,Dark1,Dark,408,10.69,23.17,411.71,24.67,436.37,23.97,0.69,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Hymenena,nonccm,High,2,Dark1,Dark,422,9.89,22.79,404.85,24.26,429.11,23.61,0.64,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
