number,genus,metabolism,treatment,rep,run1,run2,seconds,O2_mM,HCO3_mM,CO2_mM,CO2_12_mM,CO2_13_mM,salinity,temperature,pH
1,Opuntiella,ccm,High,1,Dark1,Dark,138,9.887809863,20.25043218,21.2412917,20.63699909,0.604292604,31,12,7.66
2,Opuntiella,ccm,High,1,Dark1,Dark,152,9.782510782,20.2590179,21.25029479,20.63560191,0.614692877,31,12,7.66
3,Opuntiella,ccm,High,1,Dark1,Dark,165,10.06848491,20.10374668,21.08742649,20.50223449,0.585191994,31,12,7.66
4,Opuntiella,ccm,High,1,Dark1,Dark,178,9.849427464,20.30144878,21.29480429,20.70025335,0.594550936,31,12,7.66
5,Opuntiella,ccm,High,1,Dark1,Dark,191,9.618186137,20.50751635,21.5109534,20.9387905,0.572162894,31,12,7.66
6,Opuntiella,ccm,High,1,Dark1,Dark,205,9.426716045,20.2395366,21.22986293,20.63839627,0.591466652,31,12,7.66
7,Opuntiella,ccm,High,1,Dark1,Dark,219,9.603918995,20.65032953,21.66075504,21.0819382,0.578816848,31,12,7.66
8,Opuntiella,ccm,High,1,Dark1,Dark,232,9.599752485,20.60921832,21.61763236,21.00903067,0.608601688,31,12,7.66
9,Opuntiella,ccm,High,1,Dark1,Dark,246,9.868997437,20.72088118,21.73475833,21.12131334,0.613444993,31,12,7.66
10,Opuntiella,ccm,High,1,Dark1,Dark,259,9.337451716,20.5150824,21.51888994,20.95708089,0.561809052,31,12,7.66
11,Opuntiella,ccm,High,1,Dark1,Dark,273,9.162332021,20.52370626,21.52793651,20.90233674,0.625599768,31,12,7.66
12,Opuntiella,ccm,High,1,Dark1,Dark,287,9.65271767,20.91032705,21.93347328,21.33038264,0.603090636,31,12,7.66
13,Opuntiella,ccm,High,1,Dark1,Dark,301,9.17975561,20.79697688,21.81457725,21.17745467,0.637122585,31,12,7.66
14,Opuntiella,ccm,High,1,Dark1,Dark,315,9.498556785,21.08661428,22.11838741,21.50299818,0.615389223,31,12,7.66
15,Opuntiella,ccm,High,1,Dark1,Dark,329,9.552279517,20.86230878,21.88310563,21.24058191,0.642523714,31,12,7.66
16,Opuntiella,ccm,High,1,Dark1,Dark,343,8.961455716,21.04603199,22.07581951,21.46654442,0.609275089,31,12,7.66
17,Opuntiella,ccm,High,1,Dark1,Dark,357,9.322111382,20.98998813,22.0170325,21.39350988,0.623522615,31,12,7.66
18,Opuntiella,ccm,High,1,Dark1,Dark,371,9.250270642,21.15830179,22.19358254,21.57603272,0.617549817,31,12,7.66
19,Opuntiella,ccm,High,1,Dark1,Dark,384,9.283728983,21.31760141,22.36067536,21.73315224,0.62752312,31,12,7.66
20,Opuntiella,ccm,High,1,Dark1,Dark,398,9.317881743,21.27347455,22.31438953,21.74026517,0.574124362,31,12,7.66
21,Opuntiella,ccm,High,1,Dark1,Dark,411,9.051414463,21.17489402,22.21098622,21.59699046,0.613995764,31,12,7.66
22,Opuntiella,ccm,High,1,Dark1,Dark,425,9.075845365,21.28203306,22.3200701,21.75004544,0.570024656,31,12,7.65
23,Opuntiella,ccm,High,1,Dark1,Dark,439,9.392563285,21.73506716,22.79520052,22.17669416,0.618506363,31,12,7.65
24,Opuntiella,ccm,High,1,Dark1,Dark,452,9.463709607,21.55619044,22.60759967,21.95911475,0.648484925,31,12,7.65
25,Opuntiella,ccm,High,1,Dark1,Dark,466,9.25096506,21.83135377,22.89618228,22.23004113,0.666141149,31,12,7.65
26,Opuntiella,ccm,High,1,Dark1,Dark,480,9.123949622,21.62185459,22.67646644,22.04904249,0.627423952,31,12,7.65
27,Opuntiella,ccm,High,1,Dark1,Dark,493,8.784252766,21.84105944,22.90636332,22.27919655,0.627166777,31,12,7.65
28,Opuntiella,ccm,High,1,Dark1,Dark,507,9.123255203,21.7449532,22.80556899,22.14862349,0.656945498,31,12,7.65
29,Opuntiella,ccm,High,1,Dark1,Dark,521,8.927934246,21.61410359,22.66833771,22.04192956,0.626408149,31,12,7.65
30,Opuntiella,ccm,High,1,Dark1,Dark,535,8.863416464,21.91675706,22.98575244,22.31984185,0.665910589,31,12,7.65
31,Opuntiella,ccm,High,1,Dark1,Dark,549,8.945420964,21.79840028,22.86162151,22.2244524,0.637169109,31,12,7.65
32,Opuntiella,ccm,High,1,Dark1,Dark,563,8.910510657,22.03893297,23.11388851,22.48547148,0.628417027,31,12,7.65
33,Opuntiella,ccm,High,1,Dark1,Dark,576,8.914677167,22.38122948,23.47288032,22.86868053,0.604199793,31,12,7.65
34,Opuntiella,ccm,High,1,Dark1,Dark,590,8.748711169,21.94226305,23.01250236,22.44622336,0.566278999,31,12,7.65
35,Opuntiella,ccm,High,1,Dark1,Dark,604,8.582682043,22.02518443,23.09946774,22.42653579,0.672931949,31,12,7.65
36,Opuntiella,ccm,High,1,Dark1,Dark,617,8.281998875,22.24901316,23.3342148,22.73810748,0.596107327,31,12,7.65
37,Opuntiella,ccm,High,1,Dark1,Dark,630,8.785641603,22.59637064,23.69851529,23.03989889,0.658616402,31,12,7.65
38,Opuntiella,ccm,High,1,Light1,Light,193,9.972213263,20.40742887,21.40597045,20.83209657,0.573873884,31,12,7.66
39,Opuntiella,ccm,High,1,Light1,Light,206,10.15219389,20.19420104,21.18230868,20.59216224,0.590146442,31,12,7.66
40,Opuntiella,ccm,High,1,Light1,Light,220,10.72698294,20.19307211,21.18112389,20.55558146,0.625542431,31,12,7.66
41,Opuntiella,ccm,High,1,Light1,Light,234,10.48425214,19.744553,20.71423163,20.13452147,0.579710154,31,12,7.67
42,Opuntiella,ccm,High,1,Light1,Light,248,10.52541221,19.68669308,20.65353025,20.09667053,0.556859723,31,12,7.67
43,Opuntiella,ccm,High,1,Light1,Light,262,11.0032352,19.47536255,20.43585165,19.87489957,0.560952084,31,12,7.68
44,Opuntiella,ccm,High,1,Light1,Light,276,10.88183824,18.92200791,19.85520548,19.29100432,0.564201166,31,12,7.68
45,Opuntiella,ccm,High,1,Light1,Light,290,10.67610101,19.10890476,20.05577474,19.51836401,0.537410737,31,12,7.69
46,Opuntiella,ccm,High,1,Light1,Light,304,11.16086818,19.05634816,20.00061404,19.47212997,0.52848407,31,12,7.69
47,Opuntiella,ccm,High,1,Light1,Light,317,11.60106632,18.62379471,19.54662716,19.00750329,0.539123867,31,12,7.69
48,Opuntiella,ccm,High,1,Light1,Light,331,11.38131446,18.55485673,19.47427356,18.92049693,0.553776628,31,12,7.69
49,Opuntiella,ccm,High,1,Light1,Light,345,11.25436215,18.2115984,19.11400589,18.57386867,0.540137227,31,12,7.69
50,Opuntiella,ccm,High,1,Light1,Light,359,11.05418026,18.21074944,19.11783748,18.5541811,0.563656382,31,12,7.7
51,Opuntiella,ccm,High,1,Light1,Light,372,11.20202825,17.92352253,18.81630505,18.26509134,0.551213705,31,12,7.7
52,Opuntiella,ccm,High,1,Light1,Light,386,11.91986749,17.63132281,18.50955079,18.01385253,0.495698253,31,12,7.7
53,Opuntiella,ccm,High,1,Light1,Light,400,11.40505094,17.55328955,18.43264777,17.90296705,0.529680714,31,12,7.71
54,Opuntiella,ccm,High,1,Light1,Light,413,11.83824177,17.42860668,18.30171776,17.76121654,0.540501216,31,12,7.71
55,Opuntiella,ccm,High,1,Light1,Light,427,12.50166385,17.44296325,18.31679358,17.78928721,0.527506372,31,12,7.71
56,Opuntiella,ccm,High,1,Light1,Light,440,11.94076317,16.99864055,17.85021185,17.33177346,0.518438388,31,12,7.71
57,Opuntiella,ccm,High,1,Light1,Light,454,12.16120945,16.89623046,17.74267141,17.2432429,0.499428513,31,12,7.71
58,Opuntiella,ccm,High,1,Light1,Light,467,12.36978749,16.80572779,17.65288494,17.15623654,0.496648406,31,12,7.72
59,Opuntiella,ccm,High,1,Light1,Light,481,12.59023376,16.47128868,17.301587,16.82929584,0.472291156,31,12,7.72
60,Opuntiella,ccm,High,1,Light1,Light,494,11.86058941,16.33355127,17.15690611,16.6903397,0.466566419,31,12,7.72
61,Opuntiella,ccm,High,1,Light1,Light,508,12.722047,16.39017861,17.22194662,16.74648103,0.475465588,31,12,7.73
62,Opuntiella,ccm,High,1,Light1,Light,522,12.49882305,16.16637366,16.98678339,16.52890161,0.457881773,31,12,7.73
63,Opuntiella,ccm,High,1,Light1,Light,536,12.81345772,16.07331981,16.88900812,16.4208105,0.468197622,31,12,7.73
64,Opuntiella,ccm,High,1,Light1,Light,549,12.49503531,15.76095125,16.56655437,16.08955124,0.477003128,31,12,7.74
65,Opuntiella,ccm,High,1,Light1,Light,563,12.68372773,15.60671212,16.40443188,15.942212,0.462219885,31,12,7.74
66,Opuntiella,ccm,High,1,Light1,Light,576,12.98295893,15.54805737,16.34277948,15.89585094,0.446928536,31,12,7.74
67,Opuntiella,ccm,High,1,Light1,Light,589,12.7283599,15.2801446,16.06117274,15.62225721,0.438915529,31,12,7.74
68,Opuntiella,ccm,High,1,Light1,Light,603,13.12386274,15.12295267,15.9018905,15.4552304,0.446660101,31,12,7.75
69,Opuntiella,ccm,High,1,Light1,Light,616,12.86055191,15.04717493,15.82221025,15.36822404,0.453986209,31,12,7.75
70,Opuntiella,ccm,High,1,Dark2,Dark,193,11.42455778,14.49099553,15.24347545,14.8418673,0.401608144,31,12,7.76
71,Opuntiella,ccm,High,1,Dark2,Dark,207,11.49292643,14.78302139,15.55066711,15.10568075,0.444986353,31,12,7.76
72,Opuntiella,ccm,High,1,Dark2,Dark,220,11.22298706,14.69210369,15.45502654,15.0608439,0.394182645,31,12,7.76
73,Opuntiella,ccm,High,1,Dark2,Dark,234,11.08624977,14.58232046,15.3395431,14.94005112,0.399491972,31,12,7.76
74,Opuntiella,ccm,High,1,Dark2,Dark,248,11.54526033,14.81602138,15.58537918,15.15204181,0.433337373,31,12,7.76
75,Opuntiella,ccm,High,1,Dark2,Dark,261,11.41830802,14.78885052,15.55679728,15.11419087,0.442606413,31,12,7.76
76,Opuntiella,ccm,High,1,Dark2,Dark,275,11.21812613,14.90587736,15.67990193,15.22075778,0.459144147,31,12,7.76
77,Opuntiella,ccm,High,1,Dark2,Dark,288,11.30947372,15.13336701,15.91920438,15.4805067,0.438697677,31,12,7.76
78,Opuntiella,ccm,High,1,Dark2,Dark,302,11.60946247,15.159177,15.94635491,15.49867007,0.447684835,31,12,7.76
79,Opuntiella,ccm,High,1,Dark2,Dark,315,11.55643415,15.20417761,15.99369174,15.54782549,0.445866247,31,12,7.76
80,Opuntiella,ccm,High,1,Dark2,Dark,329,11.63736546,15.32069953,16.11626483,15.68259009,0.433674741,31,12,7.76
81,Opuntiella,ccm,High,1,Dark2,Dark,342,11.9163954,15.39831625,16.19791249,15.72882413,0.469088363,31,12,7.76
82,Opuntiella,ccm,High,1,Dark2,Dark,356,11.81033877,15.53774829,16.34458406,15.90994978,0.434634274,31,12,7.76
83,Opuntiella,ccm,High,1,Dark2,Dark,370,11.87870742,15.7058556,16.5214207,16.05309748,0.468323218,31,12,7.76
84,Opuntiella,ccm,High,1,Dark2,Dark,384,12.0823614,15.66868133,16.48231573,16.02502681,0.457288921,31,12,7.76
85,Opuntiella,ccm,High,1,Dark2,Dark,398,12.32168323,15.69007149,16.50481583,16.06287776,0.441938078,31,12,7.76
86,Opuntiella,ccm,High,1,Dark2,Dark,411,11.66457404,15.38696407,16.18597065,15.73873142,0.447239221,31,12,7.76
87,Opuntiella,ccm,High,1,Dark2,Dark,426,11.56476717,15.79020581,16.61015075,16.16817451,0.441976242,31,12,7.76
88,Opuntiella,ccm,High,1,Dark2,Dark,439,11.79013751,15.84249845,16.66515875,16.21593274,0.449226004,31,12,7.76
89,Opuntiella,ccm,High,1,Dark2,Dark,453,12.01336146,15.92714608,16.75420148,16.26927971,0.484921776,31,12,7.76
90,Opuntiella,ccm,High,1,Dark2,Dark,467,11.71128946,16.00351951,16.83454191,16.36327198,0.471269923,31,12,7.76
91,Opuntiella,ccm,High,1,Dark2,Dark,481,11.68755297,16.01766114,16.84268449,16.38156237,0.461122123,31,12,7.75
92,Opuntiella,ccm,High,1,Dark2,Dark,495,11.6143234,16.32435125,17.1651712,16.70011997,0.465051225,31,12,7.75
93,Opuntiella,ccm,High,1,Dark2,Dark,509,11.38832177,16.28129088,17.11989305,16.61870234,0.501190711,31,12,7.75
94,Opuntiella,ccm,High,1,Dark2,Dark,522,11.43712045,16.04783557,16.87441191,16.41661895,0.457792957,31,12,7.75
95,Opuntiella,ccm,High,1,Dark2,Dark,536,10.71587224,15.99557393,16.81945795,16.34637878,0.47307917,31,12,7.75
96,Opuntiella,ccm,High,1,Dark2,Dark,550,10.86302581,15.95173683,16.77336354,16.2860459,0.487317641,31,12,7.75
97,Opuntiella,ccm,High,1,Dark2,Dark,564,10.73815676,16.13680717,16.96796636,16.48254056,0.4854258,31,12,7.75
98,Opuntiella,ccm,High,1,Dark2,Dark,577,10.95582536,16.38188906,17.22567138,16.72679346,0.49887792,31,12,7.75
99,Opuntiella,ccm,High,1,Dark2,Dark,592,11.21320208,16.16528978,16.99791619,16.51061122,0.487304969,31,12,7.75
100,Opuntiella,ccm,High,1,Dark2,Dark,605,11.13018751,16.30555083,17.1454011,16.68182958,0.463571517,31,12,7.75
101,Opuntiella,ccm,High,1,Dark2,Dark,619,10.74863616,16.45310163,17.30055179,16.78014042,0.520411364,31,12,7.75
102,Opuntiella,ccm,High,1,Dark2,Dark,632,11.18113257,16.51077437,17.3611944,16.88403999,0.477154412,31,12,7.75
103,Plocamium,ccm,Low,1,Dark1,Dark,383,8.805905994,19.31037758,20.28379057,19.71778005,0.566010521,31,12,7.72
104,Plocamium,ccm,Low,1,Dark1,Dark,397,8.52056316,19.44228438,20.42234648,19.84124017,0.581106307,31,12,7.72
105,Plocamium,ccm,Low,1,Dark1,Dark,411,8.725669104,19.35254093,20.32807929,19.70228403,0.62579526,31,12,7.72
106,Plocamium,ccm,Low,1,Dark1,Dark,423,8.671251953,19.4073803,20.38568278,19.81316951,0.572513273,31,12,7.72
107,Plocamium,ccm,Low,1,Dark1,Dark,436,9.038851803,19.09917896,20.06842154,19.49029334,0.578128198,31,12,7.73
108,Plocamium,ccm,Low,1,Dark1,Dark,450,8.314762798,19.52573304,20.51662272,19.96825676,0.548365962,31,12,7.73
109,Plocamium,ccm,Low,1,Dark1,Dark,463,8.16552597,19.28016249,20.25859103,19.68259646,0.575994578,31,12,7.73
110,Plocamium,ccm,Low,1,Dark1,Dark,477,8.660772548,19.2110122,20.18593103,19.59000136,0.595929664,31,12,7.73
111,Plocamium,ccm,Low,1,Dark1,Dark,491,8.482938309,19.16605282,20.13869049,19.59698728,0.541703213,31,12,7.73
112,Plocamium,ccm,Low,1,Dark1,Dark,505,8.930775048,19.36353236,20.34619232,19.77671575,0.56947657,31,12,7.73
113,Plocamium,ccm,Low,1,Dark1,Dark,518,8.623147697,19.55442838,20.54677667,19.98019632,0.566580346,31,12,7.73
114,Plocamium,ccm,Low,1,Dark1,Dark,532,8.665002188,19.31270269,20.29278113,19.73454624,0.558234895,31,12,7.73
115,Plocamium,ccm,Low,1,Dark1,Dark,545,8.864489656,19.42350589,20.40920913,19.83704863,0.572160509,31,12,7.73
116,Plocamium,ccm,Low,1,Dark1,Dark,559,9.257909244,19.62801385,20.62409328,20.04332356,0.580769715,31,12,7.73
117,Plocamium,ccm,Low,1,Dark1,Dark,572,8.464757172,19.37457528,20.35779286,19.78929039,0.568502473,31,12,7.73
118,Plocamium,ccm,Low,1,Dark1,Dark,585,8.537292331,19.60451539,20.59940278,19.99988389,0.599518891,31,12,7.73
119,Plocamium,ccm,Low,1,Dark1,Dark,599,8.291089443,19.79361968,20.79810582,20.21454192,0.583563898,31,12,7.73
120,Plocamium,ccm,Low,1,Dark1,Dark,613,8.476625414,19.46854664,20.45653456,19.92126062,0.53527394,31,12,7.73
121,Plocamium,ccm,Low,1,Dark1,Dark,626,8.757738609,19.58536035,20.57927722,19.95492002,0.624357201,31,12,7.73
122,Plocamium,ccm,Low,1,Dark1,Dark,639,8.869350584,19.65377145,20.65115951,20.08549307,0.565666443,31,12,7.73
123,Plocamium,ccm,Low,1,Light1,Light,191,9.112144509,19.51863711,20.5091658,19.91846626,0.590699545,31,12,7.73
124,Plocamium,ccm,Low,1,Light1,Light,204,8.798204263,19.55122577,20.54340993,19.97181322,0.571596703,31,12,7.73
125,Plocamium,ccm,Low,1,Light1,Light,218,9.020733796,19.04201333,20.00835523,19.44825085,0.560104373,31,12,7.73
126,Plocamium,ccm,Low,1,Light1,Light,231,8.771690106,19.47870322,20.46720657,19.86372211,0.60348446,31,12,7.73
127,Plocamium,ccm,Low,1,Light1,Light,246,8.764745922,19.20753261,20.18227657,19.62086639,0.561410181,31,12,7.73
128,Plocamium,ccm,Low,1,Light1,Light,259,8.895170323,19.32818772,20.30905386,19.75004226,0.559011601,31,12,7.73
129,Plocamium,ccm,Low,1,Light1,Light,273,9.566231014,19.41256164,20.39770834,19.80758078,0.590127567,31,12,7.73
130,Plocamium,ccm,Low,1,Light1,Light,286,9.386250391,19.23511483,20.21125512,19.63496524,0.57628989,31,12,7.73
131,Plocamium,ccm,Low,1,Light1,Light,300,9.329055566,19.07149115,20.03932894,19.47352715,0.565801792,31,12,7.73
132,Plocamium,ccm,Low,1,Light1,Light,313,9.25096506,19.09879811,20.06802194,19.5113781,0.556643849,31,12,7.73
133,Plocamium,ccm,Low,1,Light1,Light,327,9.44975811,18.98279804,19.94613615,19.37521631,0.570919832,31,12,7.73
134,Plocamium,ccm,Low,1,Light1,Light,341,9.172811426,18.94950653,19.91115356,19.3429541,0.568199462,31,12,7.73
135,Plocamium,ccm,Low,1,Light1,Light,354,9.269777486,18.90120432,19.86040132,19.32758509,0.532816227,31,12,7.73
136,Plocamium,ccm,Low,1,Light1,Light,367,9.492307019,18.75478815,19.70655492,19.14087071,0.565684213,31,12,7.73
137,Plocamium,ccm,Low,1,Light1,Light,381,9.336757297,19.06981021,20.03756329,19.49169052,0.545872765,31,12,7.73
138,Plocamium,ccm,Low,1,Light1,Light,395,9.654864054,18.65069137,19.59717535,19.05945308,0.537722268,31,12,7.73
139,Plocamium,ccm,Low,1,Light1,Light,408,9.392563285,18.9678185,19.93039608,19.36403885,0.566357222,31,12,7.73
140,Plocamium,ccm,Low,1,Light1,Light,422,9.04863679,18.66208413,19.61597723,19.07634628,0.539630945,31,12,7.74
141,Plocamium,ccm,Low,1,Light1,Light,436,9.292819551,18.79156276,19.75207387,19.19421768,0.557856196,31,12,7.74
142,Plocamium,ccm,Low,1,Light1,Light,450,9.806184137,18.50923809,19.45531881,18.90512793,0.550190882,31,12,7.74
143,Plocamium,ccm,Low,1,Light1,Light,464,9.422549534,18.55150987,19.4997503,18.94158169,0.558168615,31,12,7.74
144,Plocamium,ccm,Low,1,Light1,Light,477,9.220915682,18.75583586,19.71452007,19.17033856,0.544181513,31,12,7.74
145,Plocamium,ccm,Low,1,Light1,Light,490,9.684850303,18.66853903,19.6227617,19.06783617,0.554925526,31,12,7.74
146,Plocamium,ccm,Low,1,Light1,Light,504,9.367437965,18.59741231,19.54799768,18.9991202,0.548877484,31,12,7.74
147,Plocamium,ccm,Low,1,Light1,Light,518,9.636682918,18.38905243,19.3289882,18.79983117,0.529157027,31,12,7.74
148,Plocamium,ccm,Low,1,Light1,Light,532,8.903566473,18.42815906,19.37009499,18.83069621,0.539398787,31,12,7.74
149,Plocamium,ccm,Low,1,Light1,Light,546,9.148380524,18.37646452,19.31575865,18.77036333,0.54539532,31,12,7.74
150,Plocamium,ccm,Low,1,Light1,Light,560,9.652023251,18.48503137,19.42987364,18.8727387,0.557134946,31,12,7.74
151,Plocamium,ccm,Low,1,Light1,Light,573,9.502786424,18.54687376,19.49487781,18.84898659,0.645891215,31,12,7.74
152,Plocamium,ccm,Low,1,Light1,Light,587,9.458785549,18.55244263,19.50072982,18.9485676,0.552162226,31,12,7.74
153,Plocamium,ccm,Low,1,Light1,Light,600,9.535550347,18.20054109,19.13799592,18.61870552,0.519290398,31,12,7.75
154,Plocamium,ccm,Low,1,Light1,Light,614,9.843177699,18.25683338,19.19718866,18.64677619,0.550412476,31,12,7.75
155,Plocamium,ccm,Low,1,Light1,Light,628,9.751766985,18.50328015,19.4563289,18.92189411,0.534434783,31,12,7.75
156,Plocamium,ccm,Low,1,Light1,Light,642,9.458091131,18.25740251,19.19778692,18.65109475,0.546692174,31,12,7.75
157,Plocamium,ccm,Low,1,Light1,Light,656,9.467876117,18.194765,19.13192368,18.58784049,0.544083186,31,12,7.75
158,Plocamium,ccm,Low,1,Light1,Light,670,9.859906869,18.53634523,19.49109733,18.99632584,0.494771496,31,12,7.75
159,Plocamium,ccm,Low,1,Dark2,Dark,250,8.684509032,18.45898982,19.40975703,18.88264599,0.527111045,31,12,7.75
160,Plocamium,ccm,Low,1,Dark2,Dark,263,9.068901181,18.48408012,19.43614092,18.88823472,0.547906205,31,12,7.75
161,Plocamium,ccm,Low,1,Dark2,Dark,277,8.957289206,18.72409343,19.68851667,19.11000568,0.578510989,31,12,7.75
162,Plocamium,ccm,Low,1,Dark2,Dark,290,8.89655916,18.20910231,19.1469986,18.60892524,0.538073353,31,12,7.75
163,Plocamium,ccm,Low,1,Dark2,Dark,303,8.638488031,18.3091746,19.25222671,18.71282481,0.539401899,31,12,7.75
164,Plocamium,ccm,Low,1,Dark2,Dark,317,8.699154947,18.408657,19.35683231,18.82231311,0.534519195,31,12,7.75
165,Plocamium,ccm,Low,1,Dark2,Dark,331,8.628008626,18.47181867,19.42324573,18.88683754,0.536408191,31,12,7.75
166,Plocamium,ccm,Low,1,Dark2,Dark,345,8.84144759,18.5752902,19.53204681,18.99632584,0.535720978,31,12,7.75
167,Plocamium,ccm,Low,1,Dark2,Dark,359,9.091185699,18.59763343,19.55554205,18.97244672,0.583095332,31,12,7.75
168,Plocamium,ccm,Low,1,Dark2,Dark,372,8.755655353,18.84558001,19.81625929,19.24057873,0.575680561,31,12,7.75
169,Plocamium,ccm,Low,1,Dark2,Dark,385,8.232505782,18.47225634,19.42370845,18.898015,0.525693453,31,12,7.75
170,Plocamium,ccm,Low,1,Dark2,Dark,399,8.568730546,18.66997216,19.63160732,19.12258032,0.509026998,31,12,7.75
171,Plocamium,ccm,Low,1,Dark2,Dark,413,8.590320645,18.79835407,19.76660137,19.19142331,0.575178056,31,12,7.75
172,Plocamium,ccm,Low,1,Dark2,Dark,427,8.553390212,18.79105394,19.75892383,19.22787707,0.531046761,31,12,7.75
173,Plocamium,ccm,Low,1,Dark2,Dark,441,8.321770111,18.75075447,19.71655054,19.14645944,0.5700911,31,12,7.75
174,Plocamium,ccm,Low,1,Dark2,Dark,455,8.222026377,18.73607637,19.70111564,19.11978596,0.581329686,31,12,7.75
175,Plocamium,ccm,Low,1,Dark2,Dark,468,8.522646415,18.47037076,19.42172402,18.88124881,0.540475214,31,12,7.75
176,Plocamium,ccm,Low,1,Dark2,Dark,482,8.60496656,18.93108318,19.90616557,19.33596819,0.570197378,31,12,7.75
177,Plocamium,ccm,Low,1,Dark2,Dark,495,8.482938309,18.79804788,19.76627841,19.21669961,0.549578797,31,12,7.75
178,Plocamium,ccm,Low,1,Dark2,Dark,509,8.243616476,18.64486283,19.60520268,19.06364463,0.541558055,31,12,7.75
179,Plocamium,ccm,Low,1,Dark2,Dark,523,7.952781424,18.87729578,19.84960886,19.27703249,0.572576368,31,12,7.75
180,Plocamium,ccm,Low,1,Dark2,Dark,536,8.494049003,19.13550059,20.121113,19.5535476,0.567565393,31,12,7.75
181,Plocamium,ccm,Low,1,Dark2,Dark,550,8.478014251,18.7498186,19.71556744,19.18583458,0.529732855,31,12,7.75
182,Plocamium,ccm,Low,1,Dark2,Dark,563,8.512924558,19.13561303,20.12123184,19.58161827,0.539613573,31,12,7.75
183,Plocamium,ccm,Low,1,Dark2,Dark,576,8.323853366,19.15140864,20.13783978,19.5619307,0.575909078,31,12,7.75
184,Plocamium,ccm,Low,1,Dark2,Dark,591,8.242227639,18.95601779,19.93238691,19.37940786,0.552979051,31,12,7.75
185,Plocamium,ccm,Low,1,Dark2,Dark,604,8.448028002,19.08914651,20.07237318,19.51277528,0.559597902,31,12,7.75
186,Pyropia,non,High,1,Dark1,Dark,320,8.939802488,19.27805423,20.27911386,19.74153215,0.537581713,31,12,7.76
187,Pyropia,non,High,1,Dark1,Dark,334,9.20488093,19.33187374,20.33572695,19.75842536,0.577301592,31,12,7.76
188,Pyropia,non,High,1,Dark1,Dark,348,9.206269767,19.49449431,20.50679411,19.88760123,0.619192878,31,12,7.76
189,Pyropia,non,High,1,Dark1,Dark,362,9.225145322,19.26222689,20.26246533,19.6966953,0.565770038,31,12,7.76
190,Pyropia,non,High,1,Dark1,Dark,376,8.842142009,19.39253396,20.39953712,19.85813338,0.541403745,31,12,7.76
191,Pyropia,non,High,1,Dark1,Dark,389,8.840753172,19.39815904,20.40545662,19.88188548,0.523571135,31,12,7.76
192,Pyropia,non,High,1,Dark1,Dark,402,9.452535783,19.57446447,20.59091563,19.9815935,0.609322131,31,12,7.76
193,Pyropia,non,High,1,Dark1,Dark,415,9.163720858,19.46106375,20.47162689,19.88620404,0.585422842,31,12,7.76
194,Pyropia,non,High,1,Dark1,Dark,429,9.25096506,19.48810666,20.50007387,19.93523245,0.56484142,31,12,7.76
195,Pyropia,non,High,1,Dark1,Dark,442,8.764367148,19.46233298,20.47296228,19.90436742,0.56859486,31,12,7.76
196,Pyropia,non,High,1,Dark1,Dark,456,8.74448153,19.74177981,20.76692033,20.18227971,0.584640623,31,12,7.76
197,Pyropia,non,High,1,Dark1,Dark,469,9.52576536,19.54727804,20.56231911,19.99137378,0.570945328,31,12,7.76
198,Pyropia,non,High,1,Dark1,Dark,483,9.216054753,19.59464247,20.61214188,20.00547262,0.606669265,31,12,7.76
199,Pyropia,non,High,1,Dark1,Dark,496,8.803822739,19.59437617,20.61186282,20.02084163,0.591021198,31,12,7.76
200,Pyropia,non,High,1,Dark1,Dark,510,9.049331208,19.65548425,20.67614306,20.06859986,0.607543198,31,12,7.76
201,Pyropia,non,High,1,Dark1,Dark,523,8.754960935,19.70680335,20.73012804,20.1661486,0.563979437,31,12,7.76
202,Pyropia,non,High,1,Dark1,Dark,536,9.211888243,19.69172706,20.70598954,20.08828743,0.617702108,31,12,7.75
203,Pyropia,non,High,1,Dark1,Dark,550,9.132345772,20.04025625,21.07246955,20.49105703,0.58141252,31,12,7.75
204,Pyropia,non,High,1,Dark1,Dark,563,9.127484843,19.94644269,20.97382534,20.4096394,0.564185937,31,12,7.75
205,Pyropia,non,High,1,Dark1,Dark,577,9.103748359,20.07781384,21.11196186,20.4854683,0.626493562,31,12,7.75
206,Pyropia,non,High,1,Dark1,Dark,590,8.893087068,19.86588699,20.88911916,20.2748748,0.614244354,31,12,7.75
207,Pyropia,non,High,1,Dark1,Dark,604,8.844225264,19.97948528,21.00856888,20.44469598,0.563872904,31,12,7.75
208,Pyropia,non,High,1,Dark1,Dark,617,9.075845365,19.9618508,20.99002572,20.37039127,0.619634442,31,12,7.75
209,Pyropia,non,High,1,Light1,Light,192,9.506952935,17.71691994,18.6369144,18.08396569,0.55294871,31,12,7.76
210,Pyropia,non,High,1,Light1,Light,206,9.964574661,17.40500053,18.30879716,17.76680527,0.541991888,31,12,7.76
211,Pyropia,non,High,1,Light1,Light,220,10.11381149,17.29294513,18.19092351,17.65172824,0.539195266,31,12,7.76
212,Pyropia,non,High,1,Light1,Light,234,10.1208188,17.24059889,18.13585907,17.61248012,0.523378956,31,12,7.76
213,Pyropia,non,High,1,Light1,Light,248,10.66978811,17.01882769,17.9025725,17.38359623,0.518976269,31,12,7.76
214,Pyropia,non,High,1,Light1,Light,262,10.88537346,16.69588466,17.56285914,17.07913747,0.48372167,31,12,7.76
