number,genus,metabolism,treatment,rep,run1,run2,seconds,O2_mM,HCO3,HCO3_mM,CO2_mM,DIC_mM,CO2_12_mM,CO2_13_mM,salinity,temperature,pH,K1a,K2a,K1b,K2b,K1,K2,H,K1_HCO3,K2_HCO3
1,Hymenena,nonccm,High,1,Dark1,Dark,385,9.646467904,21.04040973,417.77,22.18600728,439.96,21.585813,0.600194288,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
2,Hymenena,nonccm,High,1,Dark1,Dark,371,9.548807425,20.981052,416.59,22.12341774,438.72,21.49461509,0.628802657,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
3,Hymenena,nonccm,High,1,Dark1,Dark,357,9.634599662,20.87488638,414.48,22.01147163,436.50,21.40900591,0.602465726,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
4,Hymenena,nonccm,High,1,Dark1,Dark,343,9.950623164,21.13283866,419.61,22.28346843,441.89,21.66443626,0.619032167,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
5,Hymenena,nonccm,High,1,Dark1,Dark,330,10.01059566,20.90611522,415.10,22.04439865,437.15,21.4510484,0.593350248,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
6,Hymenena,nonccm,High,1,Dark1,Dark,316,9.865525345,20.9561162,416.10,22.09712452,438.19,21.51277846,0.58434606,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
7,Hymenena,nonccm,High,1,Dark1,Dark,303,9.75807988,21.09724196,418.90,22.24593421,441.14,21.60969212,0.636242095,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
8,Hymenena,nonccm,High,1,Dark1,Dark,289,9.737815488,21.06511265,418.26,22.2120544,440.47,21.56752261,0.644531787,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
9,Hymenena,nonccm,High,1,Dark1,Dark,275,10.17523595,21.10801671,419.11,22.25729406,441.37,21.62086958,0.636424482,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
10,Hymenena,nonccm,High,1,Dark1,Dark,261,9.896900431,21.35427996,424.00,22.51696542,446.52,21.89319314,0.623772282,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
11,Hymenena,nonccm,High,1,Dark1,Dark,247,9.510425027,20.8344664,413.68,21.96884923,435.65,21.35985049,0.608998746,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
12,Hymenena,nonccm,High,1,Dark1,Dark,233,9.841094443,20.69025795,410.82,21.81678906,432.63,21.20120677,0.615582284,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
13,Hymenena,nonccm,High,1,Dark1,Dark,219,9.833392712,21.00469055,417.06,22.14834141,439.21,21.46514724,0.683194175,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
14,Hymenena,nonccm,High,1,Dark1,Dark,206,9.748294893,20.5610127,408.25,21.68050797,429.93,21.05247035,0.628037626,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
15,Hymenena,nonccm,High,1,Dark1,Dark,192,10.02524158,20.99834577,416.94,22.14165348,439.08,21.5268773,0.614776174,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
16,Hymenena,nonccm,High,1,Dark1,Dark,179,10.00150509,21.01971413,417.36,22.16418392,439.52,21.55913951,0.605044402,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
17,Hymenena,nonccm,High,1,Dark1,Dark,165,10.22510782,21.06223179,418.20,22.20901664,440.41,21.5774299,0.631586742,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
18,Hymenena,nonccm,High,1,Dark2,Dark,505,10.59794737,17.43221544,337.03,18.42553402,355.46,17.94361236,0.481921663,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
19,Hymenena,nonccm,High,1,Dark2,Dark,492,10.47724483,17.43868441,337.16,18.432372,355.59,17.90995297,0.522419037,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
20,Hymenena,nonccm,High,1,Dark2,Dark,478,10.58607913,17.45446188,337.46,18.44904713,355.91,17.90296705,0.546080074,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
21,Hymenena,nonccm,High,1,Dark2,Dark,464,10.0608463,17.21171638,332.77,18.19247138,350.96,17.688182,0.504289371,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
22,Hymenena,nonccm,High,1,Dark2,Dark,450,10.68026752,17.522189,338.77,18.5206338,357.29,17.99975369,0.520880106,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
23,Hymenena,nonccm,High,1,Dark2,Dark,437,10.76953185,17.4558369,337.49,18.45050041,355.94,17.91986026,0.530640146,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
24,Hymenena,nonccm,High,1,Dark2,Dark,423,10.92583911,17.51328147,338.60,18.51121891,357.11,17.96329993,0.547918982,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
25,Hymenena,nonccm,High,1,Dark2,Dark,410,10.88884555,17.25121684,333.53,18.23422141,351.77,17.73594024,0.498281165,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
26,Hymenena,nonccm,High,1,Dark2,Dark,396,10.98720045,17.30242478,334.52,18.28834721,352.81,17.76820245,0.520144753,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
27,Hymenena,nonccm,High,1,Dark2,Dark,382,10.97463779,17.29518655,334.38,18.2806972,352.66,17.78509566,0.495601537,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
28,Hymenena,nonccm,High,1,Dark2,Dark,369,11.0171867,17.18911544,332.33,18.16858019,350.50,17.63204067,0.53653952,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
29,Hymenena,nonccm,High,1,Dark2,Dark,355,10.85254641,17.29940111,334.47,18.28515057,352.75,17.75981936,0.525331207,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
30,Hymenena,nonccm,High,1,Dark2,Dark,342,10.88745672,17.1476428,331.53,18.12474366,349.66,17.61667167,0.508071996,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
31,Hymenena,nonccm,High,1,Dark2,Dark,328,10.58746797,17.07329182,330.09,18.04615757,348.14,17.5296653,0.516492262,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
32,Hymenena,nonccm,High,1,Dark2,Dark,315,11.0032352,17.14755331,331.53,18.12465024,349.65,17.62086321,0.503787028,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
33,Hymenena,nonccm,High,1,Dark2,Dark,302,11.0032352,17.03626434,329.38,18.0070202,347.39,17.50299182,0.504028381,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
34,Hymenena,nonccm,High,1,Dark2,Dark,289,11.13296519,16.95660258,327.84,17.92281934,345.76,17.39210634,0.530713001,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
35,Hymenena,nonccm,High,1,Dark2,Dark,275,11.41622476,17.05872933,329.81,18.03076645,347.84,17.55481459,0.475951858,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
36,Hymenena,nonccm,High,1,Dark2,Dark,262,11.15253516,17.06627062,327.41,18.05082261,345.46,17.55913315,0.491689454,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
37,Hymenena,nonccm,High,1,Dark2,Dark,248,10.95159572,16.86646365,323.57,17.83948982,341.41,17.3443481,0.495141713,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
38,Hymenena,nonccm,High,1,Dark2,Dark,234,11.3471617,16.81105248,322.51,17.78088275,340.29,17.30230561,0.478577136,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
39,Hymenena,nonccm,High,1,Dark2,Dark,220,11.00740171,16.92338134,324.67,17.89968987,342.57,17.41598546,0.48370441,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
40,Hymenena,nonccm,High,1,Light1,Light,614,11.60662166,16.48254984,321.02,17.41057989,338.43,16.93878414,0.471795751,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02
41,Hymenena,nonccm,High,1,Light1,Light,600,11.14975748,16.51284039,321.61,17.44257614,339.05,16.96685481,0.475721338,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02
42,Hymenena,nonccm,High,1,Light1,Light,587,12.16821676,16.69245527,325.10,17.63230382,342.74,17.1352788,0.49702502,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02
43,Hymenena,nonccm,High,1,Light1,Light,573,11.80194262,16.96834555,330.48,17.92372754,348.40,17.41166689,0.512060642,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02
44,Hymenena,nonccm,High,1,Light1,Light,560,11.79777611,17.13691359,333.76,18.10178594,351.86,17.59418973,0.507596213,31,12,7.84,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.45E-08,1.80E-02,3.62E-02
45,Hymenena,nonccm,High,1,Light1,Light,546,11.7231577,17.16023303,336.52,18.11529482,354.64,17.63204067,0.483254151,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
46,Hymenena,nonccm,High,1,Light1,Light,533,11.43295393,17.17422797,336.80,18.13006933,354.93,17.58999818,0.540071151,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
47,Hymenena,nonccm,High,1,Light1,Light,519,11.78660229,17.36830992,340.60,18.33495262,358.94,17.80046467,0.534487949,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
48,Hymenena,nonccm,High,1,Light1,Light,505,11.24318832,17.48624336,342.92,18.45944896,361.38,17.94793092,0.511518032,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
49,Hymenena,nonccm,High,1,Light1,Light,491,11.09811801,17.43696471,341.95,18.40742901,360.36,17.92265462,0.484774382,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
50,Hymenena,nonccm,High,1,Light1,Light,477,11.19508407,17.27260779,338.73,18.23392511,356.96,17.69669212,0.537232991,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
51,Hymenena,nonccm,High,1,Light1,Light,464,11.22507032,17.5597521,344.36,18.53704983,362.90,18.03633447,0.500715365,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
52,Hymenena,nonccm,High,1,Light1,Light,451,11.3576411,17.91722777,351.37,18.91442085,370.28,18.38296274,0.531458116,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
53,Hymenena,nonccm,High,1,Light1,Light,437,11.23277205,18.0193846,353.37,19.02226436,372.39,18.46018882,0.562075541,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
54,Hymenena,nonccm,High,1,Light1,Light,424,11.77618601,18.09493864,354.85,19.10202178,373.96,18.56396137,0.538060405,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
55,Hymenena,nonccm,High,1,Light1,Light,410,11.43364835,18.20716693,357.05,19.22049731,376.28,18.67484685,0.545650453,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
56,Hymenena,nonccm,High,1,Light1,Light,397,10.99629102,18.16690349,356.27,19.17799093,375.44,18.63420155,0.543789386,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
57,Hymenena,nonccm,High,1,Light1,Light,383,11.23277205,18.4086306,361.01,19.43317322,380.44,18.84898659,0.58418663,31,12,7.83,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.48E-08,1.84E-02,3.54E-02
58,Hymenena,nonccm,High,1,Light1,Light,370,11.21667417,18.8284261,371.62,19.86468435,391.49,19.30370598,0.560978378,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
59,Hymenena,nonccm,High,1,Light1,Light,356,10.98858929,18.62532537,367.61,19.65040586,387.26,19.12537469,0.525031171,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
60,Hymenena,nonccm,High,1,Light1,Light,342,11.19022314,18.82997606,371.65,19.86632043,391.52,19.32047217,0.54584826,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
61,Hymenena,nonccm,High,1,Light1,Light,328,11.30600163,18.84003791,371.85,19.87693585,391.73,19.31348625,0.563449594,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
62,Hymenena,nonccm,High,1,Light1,Light,315,11.3792312,19.01830126,375.37,20.06500945,395.43,19.4777187,0.587290752,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
63,Hymenena,nonccm,High,1,Light1,Light,302,10.63424652,19.0962099,376.91,20.14720684,397.05,19.58860418,0.558602664,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
64,Hymenena,nonccm,High,1,Light1,Light,288,10.89301206,18.90543131,373.14,19.94592812,393.09,19.35845012,0.587477994,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
65,Hymenena,nonccm,High,1,Light1,Light,275,10.95020689,19.17762191,378.51,20.23309979,398.75,19.62645512,0.606644664,31,12,7.82,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.51E-08,1.89E-02,3.46E-02
66,Hymenena,nonccm,High,1,Light1,Light,261,10.82603225,19.29693061,383.15,20.34759948,403.50,19.78230448,0.565295,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
67,Hymenena,nonccm,High,1,Light1,Light,247,10.96838802,19.4131775,385.46,20.47017494,405.93,19.90436742,0.56580752,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
68,Hymenena,nonccm,High,1,Light1,Light,234,10.71372586,19.48488669,386.88,20.54578927,407.43,19.96050875,0.58528052,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
69,Hymenena,nonccm,High,1,Light1,Light,220,10.83512282,19.60609141,389.29,20.67359335,409.96,20.06301113,0.610582217,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
70,Hymenena,nonccm,High,1,Light1,Light,207,10.90001938,19.84895134,396.29,20.91854946,417.21,20.3254274,0.593122054,31,12,7.8,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.58E-08,1.97E-02,3.30E-02
71,Hymenena,nonccm,High,1,Light1,Light,193,10.6900525,19.88590115,397.03,20.95749114,417.99,20.34790934,0.609581798,31,12,7.8,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.58E-08,1.97E-02,3.30E-02
72,Hymenena,nonccm,High,2,Dark1,Dark,605,9.520904432,23.60398448,423.99,25.10347499,449.10,24.43073052,0.672744479,31,12,7.93,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.17E-08,1.46E-02,4.46E-02
73,Hymenena,nonccm,High,2,Dark1,Dark,591,9.902455778,23.85913594,428.58,25.37483533,453.95,24.6932738,0.681561531,31,12,7.93,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.17E-08,1.46E-02,4.46E-02
74,Hymenena,nonccm,High,2,Dark1,Dark,577,9.856750422,23.44161366,421.08,24.93079035,446.01,24.2637037,0.667086644,31,12,7.93,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.17E-08,1.46E-02,4.46E-02
75,Hymenena,nonccm,High,2,Dark1,Dark,563,9.576016001,23.28619536,418.28,24.76549904,443.05,24.09820109,0.66729795,31,12,7.93,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.17E-08,1.46E-02,4.46E-02
76,Hymenena,nonccm,High,2,Dark1,Dark,549,10.20175011,23.25642187,413.21,24.75627409,437.97,24.04066258,0.715611512,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
77,Hymenena,nonccm,High,2,Dark1,Dark,535,9.785982874,23.48388527,417.25,24.99840511,442.25,24.30587321,0.692531897,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
78,Hymenena,nonccm,High,2,Dark1,Dark,521,10.01829739,23.11864241,410.76,24.60960865,435.37,23.90030925,0.709299401,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
79,Hymenena,nonccm,High,2,Dark1,Dark,507,9.91015751,23.18416583,411.93,24.67935768,436.60,23.9788055,0.700552177,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
80,Hymenena,nonccm,High,2,Dark1,Dark,493,9.85504594,22.96300443,408.00,24.44393066,432.44,23.76275028,0.681180374,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
81,Hymenena,nonccm,High,2,Dark1,Dark,479,10.10964498,23.08807735,410.22,24.57707178,434.79,23.90170643,0.675365348,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
82,Hymenena,nonccm,High,2,Dark1,Dark,465,10.41657791,23.17452486,411.75,24.66909378,436.42,23.99849307,0.670600708,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
83,Hymenena,nonccm,High,2,Dark1,Dark,450,9.776197887,22.96595892,408.05,24.44707714,432.50,23.74865144,0.698425699,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
84,Hymenena,nonccm,High,2,Dark1,Dark,436,9.96103944,23.03808338,409.33,24.52385417,433.85,23.86372847,0.660125699,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
85,Hymenena,nonccm,High,2,Dark1,Dark,422,9.88503219,22.78612623,404.85,24.25564714,429.11,23.61388684,0.641760292,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
86,Hymenena,nonccm,High,2,Dark1,Dark,408,10.68582286,23.17192067,411.71,24.66632256,436.37,23.97461395,0.691708608,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
87,Hymenena,nonccm,High,2,Dark1,Dark,394,10.65444778,23.19437412,412.11,24.69022357,436.80,23.99150716,0.698716415,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
88,Hymenena,nonccm,High,2,Dark1,Dark,380,10.5044534,23.15836828,411.47,24.65189597,436.12,23.95784776,0.694048205,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
89,Hymenena,nonccm,High,2,Dark1,Dark,366,10.52471779,22.62076696,401.91,24.07962354,425.99,23.37255533,0.707068213,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
90,Hymenena,nonccm,High,2,Dark1,Dark,352,10.4340015,22.89764335,406.83,24.37435578,431.21,23.69670166,0.677654125,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
91,Hymenena,nonccm,High,2,Dark1,Dark,338,11.19230639,22.87847418,406.49,24.35395004,430.85,23.65326199,0.700688058,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
92,Hymenena,nonccm,High,2,Dark1,Dark,324,10.76050441,23.05993705,409.72,24.54711778,434.26,23.82448035,0.722637432,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
93,Hymenena,nonccm,High,2,Dark1,Dark,310,11.12463216,23.03547748,409.28,24.52108086,433.80,23.85534538,0.665735488,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
94,Hymenena,nonccm,High,2,Dark1,Dark,296,10.79674042,22.67514567,402.88,24.13750829,427.02,23.44546285,0.692045437,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
95,Hymenena,nonccm,High,2,Dark1,Dark,282,11.05001375,22.97269154,408.17,24.45424543,432.62,23.74585708,0.708388351,31,12,7.94,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.15E-08,1.43E-02,4.56E-02
96,Hymenena,nonccm,High,2,Dark2,Dark,448,12.51277455,15.61246109,233.85,16.86705077,250.72,16.44189525,0.425155523,31,12,8.07,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,8.51E-09,1.06E-02,6.15E-02
97,Hymenena,nonccm,High,2,Dark2,Dark,435,12.62508094,15.47985359,231.87,16.72378812,248.59,16.23409611,0.48969201,31,12,8.07,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,8.51E-09,1.06E-02,6.15E-02
